Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestSuite,,,,2019-05-11 13:19:23,2019-05-11 13:19:28,"4,853s",PASSED
,,,,,,,
Test Cases/DataDrivenDemoTest,,,,2019-05-11 13:19:23,2019-05-11 13:19:26,"3,301s",PASSED
"println(""... using username: "" + userName)",,,,2019-05-11 13:19:23,2019-05-11 13:19:23,"0,005s",PASSED
"sendRequest(findTestObject(""RESTWebServices/CreateUser"", [""userName"":userName]))",,,,2019-05-11 13:19:23,2019-05-11 13:19:26,"2,804s",PASSED
,,,,,,,
Test Cases/DataDrivenDemoTest,,,,2019-05-11 13:19:26,2019-05-11 13:19:27,"0,633s",PASSED
"println(""... using username: "" + userName)",,,,2019-05-11 13:19:26,2019-05-11 13:19:26,"0,001s",PASSED
"sendRequest(findTestObject(""RESTWebServices/CreateUser"", [""userName"":userName]))",,,,2019-05-11 13:19:26,2019-05-11 13:19:27,"0,620s",PASSED
,,,,,,,
Test Cases/DataDrivenDemoTest,,,,2019-05-11 13:19:27,2019-05-11 13:19:27,"0,489s",PASSED
"println(""... using username: "" + userName)",,,,2019-05-11 13:19:27,2019-05-11 13:19:27,"0,001s",PASSED
"sendRequest(findTestObject(""RESTWebServices/CreateUser"", [""userName"":userName]))",,,,2019-05-11 13:19:27,2019-05-11 13:19:27,"0,480s",PASSED
